
---------- Begin Simulation Statistics ----------
simSeconds                                   0.008784                       # Number of seconds simulated (Second)
simTicks                                   8783970300                       # Number of ticks simulated (Tick)
finalTick                                  8783970300                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                     86.14                       # Real time elapsed on the host (Second)
hostTickRate                                101968708                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    8525288                       # Number of bytes of host memory used (Byte)
simInsts                                     14793986                       # Number of instructions simulated (Count)
simOps                                       17433143                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   171736                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     202372                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                           588                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage     1.100000                       # Voltage in Volts (Volt)
system.cpu.numCycles                         14938726                       # Number of cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        19730893                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                   274929                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       19597299                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                  60525                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined              2572678                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined            983097                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved               29929                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples            14899126                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               1.315332                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.206965                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::SimdSqrt               5203745      1.89%     45.28% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatAdd           5203745      1.89%     47.17% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatAlu           5203745      1.89%     49.06% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatCmp           5203745      1.89%     50.94% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatCvt           5203745      1.89%     52.83% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatDiv           5203745      1.89%     54.72% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatMisc          5203745      1.89%     56.60% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatMult          5203745      1.89%     58.49% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatMultAcc       5203745      1.89%     60.38% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatSqrt          5203745      1.89%     62.26% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdReduceAdd          5203745      1.89%     64.15% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdReduceAlu          5203745      1.89%     66.04% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdReduceCmp          5203745      1.89%     67.92% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatReduceAdd      5203745      1.89%     69.81% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatReduceCmp      5203745      1.89%     71.70% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAes                5203745      1.89%     73.58% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAesMix             5203745      1.89%     75.47% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdSha1Hash           5203745      1.89%     77.36% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdSha1Hash2          5203745      1.89%     79.25% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdSha256Hash         5203745      1.89%     81.13% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdSha256Hash2        5203745      1.89%     83.02% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdShaSigma2          5203745      1.89%     84.91% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdShaSigma3          5203745      1.89%     86.79% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdPredAlu            5203745      1.89%     88.68% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::MemRead                5203745      1.89%     90.57% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::MemWrite               5203745      1.89%     92.45% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMemRead           5203745      1.89%     94.34% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMemWrite          5203745      1.89%     96.23% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IprAccess              5203745      1.89%     98.11% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::InstPrefetch           5203745      1.89%    100.00% # attempts to use FU when none available (Count)
system.cpu.statIssuedInstType_0::No_OpClass     19597299      1.89%      1.89% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::IntAlu      19597299      1.89%      3.77% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::IntMult     19597299      1.89%      5.66% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::IntDiv      19597299      1.89%      7.55% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::FloatAdd     19597299      1.89%      9.43% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::FloatCmp     19597299      1.89%     11.32% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::FloatCvt     19597299      1.89%     13.21% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::FloatMult     19597299      1.89%     15.09% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::FloatMultAcc     19597299      1.89%     16.98% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::FloatDiv     19597299      1.89%     18.87% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::FloatMisc     19597299      1.89%     20.75% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::FloatSqrt     19597299      1.89%     22.64% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdAdd     19597299      1.89%     24.53% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdAddAcc     19597299      1.89%     26.42% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdAlu     19597299      1.89%     28.30% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdCmp     19597299      1.89%     30.19% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdCvt     19597299      1.89%     32.08% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdMisc     19597299      1.89%     33.96% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdMult     19597299      1.89%     35.85% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdMultAcc     19597299      1.89%     37.74% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdShift     19597299      1.89%     39.62% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdShiftAcc     19597299      1.89%     41.51% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdDiv     19597299      1.89%     43.40% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdSqrt     19597299      1.89%     45.28% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdFloatAdd     19597299      1.89%     47.17% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdFloatAlu     19597299      1.89%     49.06% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdFloatCmp     19597299      1.89%     50.94% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdFloatCvt     19597299      1.89%     52.83% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdFloatDiv     19597299      1.89%     54.72% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdFloatMisc     19597299      1.89%     56.60% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdFloatMult     19597299      1.89%     58.49% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdFloatMultAcc     19597299      1.89%     60.38% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdFloatSqrt     19597299      1.89%     62.26% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdReduceAdd     19597299      1.89%     64.15% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdReduceAlu     19597299      1.89%     66.04% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdReduceCmp     19597299      1.89%     67.92% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdFloatReduceAdd     19597299      1.89%     69.81% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdFloatReduceCmp     19597299      1.89%     71.70% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdAes     19597299      1.89%     73.58% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdAesMix     19597299      1.89%     75.47% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdSha1Hash     19597299      1.89%     77.36% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdSha1Hash2     19597299      1.89%     79.25% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdSha256Hash     19597299      1.89%     81.13% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdSha256Hash2     19597299      1.89%     83.02% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdShaSigma2     19597299      1.89%     84.91% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdShaSigma3     19597299      1.89%     86.79% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdPredAlu     19597299      1.89%     88.68% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::MemRead     19597299      1.89%     90.57% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::MemWrite     19597299      1.89%     92.45% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::FloatMemRead     19597299      1.89%     94.34% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::FloatMemWrite     19597299      1.89%     96.23% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::IprAccess     19597299      1.89%     98.11% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::InstPrefetch     19597299      1.89%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::total     1038656847                       # Number of instructions issued per FU type, per thread (Count)
system.cpu.issueRate                         1.311845                       # Inst issue rate ((Count/Cycle))
system.cpu.fuBusy                             5203745                       # FU busy when requested (Count)
system.cpu.fuBusyRate                        0.265534                       # FU busy rate (busy events/executed inst) ((Count/Count))
system.cpu.intInstQueueReads                 58955112                       # Number of integer instruction queue reads (Count)
system.cpu.intInstQueueWrites                22428358                       # Number of integer instruction queue writes (Count)
system.cpu.intInstQueueWakeupAccesses        19057923                       # Number of integer instruction queue wakeup accesses (Count)
system.cpu.fpInstQueueReads                         0                       # Number of floating instruction queue reads (Count)
system.cpu.fpInstQueueWrites                        0                       # Number of floating instruction queue writes (Count)
system.cpu.fpInstQueueWakeupAccesses                0                       # Number of floating instruction queue wakeup accesses (Count)
system.cpu.vecInstQueueReads                   402882                       # Number of vector instruction queue reads (Count)
system.cpu.vecInstQueueWrites                  160228                       # Number of vector instruction queue writes (Count)
system.cpu.vecInstQueueWakeupAccesses          160158                       # Number of vector instruction queue wakeup accesses (Count)
system.cpu.intAluAccesses                    24353413                       # Number of integer alu accesses (Count)
system.cpu.fpAluAccesses                            0                       # Number of floating point alu accesses (Count)
system.cpu.vecAluAccesses                      242687                       # Number of vector alu accesses (Count)
system.cpu.idleCycles                               0                       # Number of cycles IEW is idle (Cycle)
system.cpu.squashCycles                         99573                       # Number of cycles IEW is squashing (Cycle)
system.cpu.blockCycles                         275239                       # Number of cycles IEW is blocking (Cycle)
system.cpu.unblockCycles                          857                       # Number of cycles IEW is unblocking (Cycle)
system.cpu.dispatchedInsts                   20140542                       # Number of instructions dispatched to IQ (Count)
system.cpu.dispSquashedInsts                        0                       # Number of squashed instructions skipped by dispatch (Count)
system.cpu.dispLoadInsts                      3507032                       # Number of dispatched load instructions (Count)
system.cpu.dispStoreInsts                     3075893                       # Number of dispatched store instructions (Count)
system.cpu.dispNonSpecInsts                    274927                       # Number of dispatched non-speculative instructions (Count)
system.cpu.iqFullEvents                             2                       # Number of times the IQ has become full, causing a stall (Count)
system.cpu.lsqFullEvents                          854                       # Number of times the LSQ has become full, causing a stall (Count)
system.cpu.memOrderViolationEvents              10086                       # Number of memory order violations (Count)
system.cpu.predictedTakenIncorrect              41040                       # Number of branches that were predicted taken incorrectly (Count)
system.cpu.predictedNotTakenIncorrect           59778                       # Number of branches that were predicted not taken incorrectly (Count)
system.cpu.branchMispredicts                   100818                       # Number of branch mispredicts detected at execute (Count)
system.cpu.numInsts                          19406884                       # Number of executed instructions (Count)
system.cpu.numLoadInsts                       3485616                       # Number of load instructions executed (Count)
system.cpu.numSquashedInsts                    190415                       # Number of squashed instructions skipped in execute (Count)
system.cpu.numSwp                                   0                       # Number of swp insts executed (Count)
system.cpu.numNop                              134720                       # Number of nop insts executed (Count)
system.cpu.numRefs                            6364653                       # Number of memory reference insts executed (Count)
system.cpu.numBranches                        3624291                       # Number of branches executed (Count)
system.cpu.numStoreInsts                      2879037                       # Number of stores executed (Count)
system.cpu.numRate                           1.299099                       # Inst execution rate ((Count/Cycle))
system.cpu.instsToCommit                     19228007                       # Cumulative count of insts sent to commit (Count)
system.cpu.writebackCount                    19218081                       # Cumulative count of insts written-back (Count)
system.cpu.producerInst                       9657717                       # Number of instructions producing a value (Count)
system.cpu.consumerInst                      17839415                       # Number of instructions consuming a value (Count)
system.cpu.wbRate                            1.286461                       # Insts written-back per cycle ((Count/Cycle))
system.cpu.wbFanout                          0.541370                       # Average fanout of values written-back ((Count/Count))
system.cpu.timesIdled                             484                       # Number of times that the entire CPU went into an idle state and unscheduled itself (Count)
system.cpu.idleCycles                           39600                       # Total number of cycles that the CPU has spent unscheduled due to idling (Cycle)
system.cpu.committedInsts                    14793986                       # Number of Instructions Simulated (Count)
system.cpu.committedOps                      17433143                       # Number of Ops (including micro ops) Simulated (Count)
system.cpu.cpi                               1.009784                       # CPI: Cycles Per Instruction ((Cycle/Count))
system.cpu.totalCpi                          1.009784                       # CPI: Total CPI of All Threads ((Cycle/Count))
system.cpu.ipc                               0.990311                       # IPC: Instructions Per Cycle ((Count/Cycle))
system.cpu.totalIpc                          0.990311                       # IPC: Total IPC of All Threads ((Count/Cycle))
system.cpu.intRegfileReads                   22128953                       # Number of integer regfile reads (Count)
system.cpu.intRegfileWrites                  13453668                       # Number of integer regfile writes (Count)
system.cpu.vecRegfileReads                     160189                       # number of vector regfile reads (Count)
system.cpu.vecRegfileWrites                        83                       # number of vector regfile writes (Count)
system.cpu.ccRegfileReads                     5742198                       # number of cc regfile reads (Count)
system.cpu.ccRegfileWrites                    5636439                       # number of cc regfile writes (Count)
system.cpu.miscRegfileReads                  47737738                       # number of misc regfile reads (Count)
system.cpu.miscRegfileWrites                    80073                       # number of misc regfile writes (Count)
system.cpu.MemDepUnit__0.insertedLoads        3507032                       # Number of loads inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__0.insertedStores       3075893                       # Number of stores inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__0.conflictingLoads       950240                       # Number of conflicting loads. (Count)
system.cpu.MemDepUnit__0.conflictingStores       283533                       # Number of conflicting stores. (Count)
system.cpu.MemDepUnit__1.insertedLoads              0                       # Number of loads inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__1.insertedStores             0                       # Number of stores inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__1.conflictingLoads            0                       # Number of conflicting loads. (Count)
system.cpu.MemDepUnit__1.conflictingStores            0                       # Number of conflicting stores. (Count)
system.cpu.MemDepUnit__2.insertedLoads              0                       # Number of loads inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__2.insertedStores             0                       # Number of stores inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__2.conflictingLoads            0                       # Number of conflicting loads. (Count)
system.cpu.MemDepUnit__2.conflictingStores            0                       # Number of conflicting stores. (Count)
system.cpu.MemDepUnit__3.insertedLoads              0                       # Number of loads inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__3.insertedStores             0                       # Number of stores inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__3.conflictingLoads            0                       # Number of conflicting loads. (Count)
system.cpu.MemDepUnit__3.conflictingStores            0                       # Number of conflicting stores. (Count)
system.cpu.branchPred.lookups                 4202328                       # Number of BP lookups (Count)
system.cpu.branchPred.condPredicted           2626765                       # Number of conditional branches predicted (Count)
system.cpu.branchPred.condIncorrect             89757                       # Number of conditional branches incorrect (Count)
system.cpu.branchPred.BTBLookups              1631550                       # Number of BTB lookups (Count)
system.cpu.branchPred.BTBHits                 1629462                       # Number of BTB hits (Count)
system.cpu.branchPred.BTBHitRatio            0.998720                       # BTB Hit Ratio (Ratio)
system.cpu.branchPred.RASUsed                  503714                       # Number of times the RAS was used to get a target. (Count)
system.cpu.branchPred.RASIncorrect                 13                       # Number of incorrect RAS predictions. (Count)
system.cpu.branchPred.indirectLookups          263502                       # Number of indirect predictor lookups. (Count)
system.cpu.branchPred.indirectHits             261543                       # Number of indirect target hits. (Count)
system.cpu.branchPred.indirectMisses             1959                       # Number of indirect misses. (Count)
system.cpu.branchPred.indirectMispredicted          124                       # Number of mispredicted indirect branches. (Count)
system.cpu.commit.commitSquashedInsts         2394484                       # The number of squashed insts skipped by commit (Count)
system.cpu.commit.commitNonSpecStalls          245000                       # The number of times commit has been forced to stall to communicate backwards (Count)
system.cpu.commit.branchMispredicts             89422                       # The number of times a branch was mispredicted (Count)
system.cpu.commit.numCommittedDist::samples     14554324                       # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::mean     1.206762                       # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::stdev     2.096214                       # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::underflows            0      0.00%      0.00% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::0         8492424     58.35%     58.35% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::1         2403456     16.51%     74.86% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::2         1377207      9.46%     84.33% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::3          635105      4.36%     88.69% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::4          373201      2.56%     91.25% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::5          213426      1.47%     92.72% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::6          219199      1.51%     94.23% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::7           97163      0.67%     94.89% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::8          743143      5.11%    100.00% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::overflows            0      0.00%    100.00% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::min_value            0                       # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::max_value            8                       # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::total     14554324                       # Number of insts commited each cycle (Count)
system.cpu.commit.instsCommitted             14924441                       # Number of instructions committed (Count)
system.cpu.commit.opsCommitted               17563598                       # Number of ops (including micro ops) committed (Count)
system.cpu.commit.memRefs                     5715267                       # Number of memory references committed (Count)
system.cpu.commit.loads                       3035058                       # Number of loads committed (Count)
system.cpu.commit.amos                          40028                       # Number of atomic instructions committed (Count)
system.cpu.commit.membars                       40034                       # Number of memory barriers committed (Count)
system.cpu.commit.branches                    3209663                       # Number of branches committed (Count)
system.cpu.commit.vectorInstructions           160152                       # Number of committed Vector instructions. (Count)
system.cpu.commit.floating                          0                       # Number of committed floating point instructions. (Count)
system.cpu.commit.integer                    15499030                       # Number of committed integer instructions. (Count)
system.cpu.commit.functionCalls                385571                       # Number of function calls committed. (Count)
system.cpu.commit.committedInstType_0::No_OpClass     17563598      1.89%      1.89% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::IntAlu     17563598      1.89%      3.77% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::IntMult     17563598      1.89%      5.66% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::IntDiv     17563598      1.89%      7.55% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::FloatAdd     17563598      1.89%      9.43% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::FloatCmp     17563598      1.89%     11.32% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::FloatCvt     17563598      1.89%     13.21% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::FloatMult     17563598      1.89%     15.09% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::FloatMultAcc     17563598      1.89%     16.98% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::FloatDiv     17563598      1.89%     18.87% # Class of committed instruction (Count)
