
---------- Begin Simulation Statistics ----------
simSeconds                                   0.001874                       # Number of seconds simulated (Second)
simTicks                                   1874187672                       # Number of ticks simulated (Tick)
finalTick                                  1874187672                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                     21.06                       # Real time elapsed on the host (Second)
hostTickRate                                 88978639                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    8522952                       # Number of bytes of host memory used (Byte)
simInsts                                      4848347                       # Number of instructions simulated (Count)
simOps                                        4855231                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   230177                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     230504                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                           588                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage     1.100000                       # Voltage in Volts (Volt)
system.cpu.numCycles                          3187395                       # Number of cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                         4948685                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                      192                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                        4916244                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                   1700                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined                93645                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined             69141                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                  48                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples             3133145                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               1.569108                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              0.891343                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::FloatMultAcc            872459      1.89%     16.98% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatDiv                872459      1.89%     18.87% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMisc               872459      1.89%     20.75% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatSqrt               872459      1.89%     22.64% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAdd                 872459      1.89%     24.53% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAddAcc              872459      1.89%     26.42% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAlu                 872459      1.89%     28.30% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdCmp                 872459      1.89%     30.19% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdCvt                 872459      1.89%     32.08% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMisc                872459      1.89%     33.96% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMult                872459      1.89%     35.85% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMultAcc             872459      1.89%     37.74% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdShift               872459      1.89%     39.62% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdShiftAcc            872459      1.89%     41.51% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdDiv                 872459      1.89%     43.40% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdSqrt                872459      1.89%     45.28% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatAdd            872459      1.89%     47.17% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatAlu            872459      1.89%     49.06% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatCmp            872459      1.89%     50.94% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatCvt            872459      1.89%     52.83% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatDiv            872459      1.89%     54.72% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatMisc           872459      1.89%     56.60% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatMult           872459      1.89%     58.49% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatMultAcc        872459      1.89%     60.38% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatSqrt           872459      1.89%     62.26% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdReduceAdd           872459      1.89%     64.15% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdReduceAlu           872459      1.89%     66.04% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdReduceCmp           872459      1.89%     67.92% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatReduceAdd       872459      1.89%     69.81% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatReduceCmp       872459      1.89%     71.70% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAes                 872459      1.89%     73.58% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAesMix              872459      1.89%     75.47% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdSha1Hash            872459      1.89%     77.36% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdSha1Hash2           872459      1.89%     79.25% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdSha256Hash          872459      1.89%     81.13% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdSha256Hash2         872459      1.89%     83.02% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdShaSigma2           872459      1.89%     84.91% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdShaSigma3           872459      1.89%     86.79% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdPredAlu             872459      1.89%     88.68% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::MemRead                 872459      1.89%     90.57% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::MemWrite                872459      1.89%     92.45% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMemRead            872459      1.89%     94.34% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMemWrite           872459      1.89%     96.23% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IprAccess               872459      1.89%     98.11% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::InstPrefetch            872459      1.89%    100.00% # attempts to use FU when none available (Count)
system.cpu.statIssuedInstType_0::No_OpClass      4916244      1.89%      1.89% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::IntAlu       4916244      1.89%      3.77% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::IntMult      4916244      1.89%      5.66% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::IntDiv       4916244      1.89%      7.55% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::FloatAdd      4916244      1.89%      9.43% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::FloatCmp      4916244      1.89%     11.32% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::FloatCvt      4916244      1.89%     13.21% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::FloatMult      4916244      1.89%     15.09% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::FloatMultAcc      4916244      1.89%     16.98% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::FloatDiv      4916244      1.89%     18.87% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::FloatMisc      4916244      1.89%     20.75% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::FloatSqrt      4916244      1.89%     22.64% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdAdd      4916244      1.89%     24.53% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdAddAcc      4916244      1.89%     26.42% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdAlu      4916244      1.89%     28.30% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdCmp      4916244      1.89%     30.19% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdCvt      4916244      1.89%     32.08% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdMisc      4916244      1.89%     33.96% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdMult      4916244      1.89%     35.85% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdMultAcc      4916244      1.89%     37.74% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdShift      4916244      1.89%     39.62% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdShiftAcc      4916244      1.89%     41.51% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdDiv      4916244      1.89%     43.40% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdSqrt      4916244      1.89%     45.28% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdFloatAdd      4916244      1.89%     47.17% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdFloatAlu      4916244      1.89%     49.06% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdFloatCmp      4916244      1.89%     50.94% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdFloatCvt      4916244      1.89%     52.83% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdFloatDiv      4916244      1.89%     54.72% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdFloatMisc      4916244      1.89%     56.60% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdFloatMult      4916244      1.89%     58.49% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdFloatMultAcc      4916244      1.89%     60.38% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdFloatSqrt      4916244      1.89%     62.26% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdReduceAdd      4916244      1.89%     64.15% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdReduceAlu      4916244      1.89%     66.04% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdReduceCmp      4916244      1.89%     67.92% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdFloatReduceAdd      4916244      1.89%     69.81% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdFloatReduceCmp      4916244      1.89%     71.70% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdAes      4916244      1.89%     73.58% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdAesMix      4916244      1.89%     75.47% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdSha1Hash      4916244      1.89%     77.36% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdSha1Hash2      4916244      1.89%     79.25% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdSha256Hash      4916244      1.89%     81.13% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdSha256Hash2      4916244      1.89%     83.02% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdShaSigma2      4916244      1.89%     84.91% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdShaSigma3      4916244      1.89%     86.79% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdPredAlu      4916244      1.89%     88.68% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::MemRead      4916244      1.89%     90.57% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::MemWrite      4916244      1.89%     92.45% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::FloatMemRead      4916244      1.89%     94.34% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::FloatMemWrite      4916244      1.89%     96.23% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::IprAccess      4916244      1.89%     98.11% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::InstPrefetch      4916244      1.89%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::total      260560932                       # Number of instructions issued per FU type, per thread (Count)
system.cpu.issueRate                         1.542402                       # Inst issue rate ((Count/Cycle))
system.cpu.fuBusy                              872459                       # FU busy when requested (Count)
system.cpu.fuBusyRate                        0.177465                       # FU busy rate (busy events/executed inst) ((Count/Count))
system.cpu.intInstQueueReads                 13756260                       # Number of integer instruction queue reads (Count)
system.cpu.intInstQueueWrites                 5000764                       # Number of integer instruction queue writes (Count)
system.cpu.intInstQueueWakeupAccesses         4862930                       # Number of integer instruction queue wakeup accesses (Count)
system.cpu.fpInstQueueReads                         0                       # Number of floating instruction queue reads (Count)
system.cpu.fpInstQueueWrites                        0                       # Number of floating instruction queue writes (Count)
system.cpu.fpInstQueueWakeupAccesses                0                       # Number of floating instruction queue wakeup accesses (Count)
system.cpu.vecInstQueueReads                    83532                       # Number of vector instruction queue reads (Count)
system.cpu.vecInstQueueWrites                   42777                       # Number of vector instruction queue writes (Count)
system.cpu.vecInstQueueWakeupAccesses           39911                       # Number of vector instruction queue wakeup accesses (Count)
system.cpu.intAluAccesses                     5745674                       # Number of integer alu accesses (Count)
system.cpu.fpAluAccesses                            0                       # Number of floating point alu accesses (Count)
system.cpu.vecAluAccesses                       42938                       # Number of vector alu accesses (Count)
system.cpu.idleCycles                               0                       # Number of cycles IEW is idle (Cycle)
system.cpu.squashCycles                          5066                       # Number of cycles IEW is squashing (Cycle)
system.cpu.blockCycles                          20937                       # Number of cycles IEW is blocking (Cycle)
system.cpu.unblockCycles                         2131                       # Number of cycles IEW is unblocking (Cycle)
system.cpu.dispatchedInsts                    4949412                       # Number of instructions dispatched to IQ (Count)
system.cpu.dispSquashedInsts                        0                       # Number of squashed instructions skipped by dispatch (Count)
system.cpu.dispLoadInsts                      1964889                       # Number of dispatched load instructions (Count)
system.cpu.dispStoreInsts                      715924                       # Number of dispatched store instructions (Count)
system.cpu.dispNonSpecInsts                       191                       # Number of dispatched non-speculative instructions (Count)
system.cpu.iqFullEvents                           905                       # Number of times the IQ has become full, causing a stall (Count)
system.cpu.lsqFullEvents                          380                       # Number of times the LSQ has become full, causing a stall (Count)
system.cpu.memOrderViolationEvents               1031                       # Number of memory order violations (Count)
system.cpu.predictedTakenIncorrect               1377                       # Number of branches that were predicted taken incorrectly (Count)
system.cpu.predictedNotTakenIncorrect            2875                       # Number of branches that were predicted not taken incorrectly (Count)
system.cpu.branchMispredicts                     4252                       # Number of branch mispredicts detected at execute (Count)
system.cpu.numInsts                           4907400                       # Number of executed instructions (Count)
system.cpu.numLoadInsts                       1953228                       # Number of load instructions executed (Count)
system.cpu.numSquashedInsts                      8844                       # Number of squashed instructions skipped in execute (Count)
system.cpu.numSwp                                   0                       # Number of swp insts executed (Count)
system.cpu.numNop                                 535                       # Number of nop insts executed (Count)
system.cpu.numRefs                            2663140                       # Number of memory reference insts executed (Count)
system.cpu.numBranches                          92027                       # Number of branches executed (Count)
system.cpu.numStoreInsts                       709912                       # Number of stores executed (Count)
system.cpu.numRate                           1.539627                       # Inst execution rate ((Count/Cycle))
system.cpu.instsToCommit                      4903928                       # Cumulative count of insts sent to commit (Count)
system.cpu.writebackCount                     4902841                       # Cumulative count of insts written-back (Count)
system.cpu.producerInst                       4078362                       # Number of instructions producing a value (Count)
system.cpu.consumerInst                       4481027                       # Number of instructions consuming a value (Count)
system.cpu.wbRate                            1.538197                       # Insts written-back per cycle ((Count/Cycle))
system.cpu.wbFanout                          0.910140                       # Average fanout of values written-back ((Count/Count))
system.cpu.timesIdled                             722                       # Number of times that the entire CPU went into an idle state and unscheduled itself (Count)
system.cpu.idleCycles                           54250                       # Total number of cycles that the CPU has spent unscheduled due to idling (Cycle)
system.cpu.committedInsts                     4848347                       # Number of Instructions Simulated (Count)
system.cpu.committedOps                       4855231                       # Number of Ops (including micro ops) Simulated (Count)
system.cpu.cpi                               0.657419                       # CPI: Cycles Per Instruction ((Cycle/Count))
system.cpu.totalCpi                          0.657419                       # CPI: Total CPI of All Threads ((Cycle/Count))
system.cpu.ipc                               1.521100                       # IPC: Instructions Per Cycle ((Count/Cycle))
system.cpu.totalIpc                          1.521100                       # IPC: Total IPC of All Threads ((Count/Cycle))
system.cpu.intRegfileReads                    6871052                       # Number of integer regfile reads (Count)
system.cpu.intRegfileWrites                   4071382                       # Number of integer regfile writes (Count)
system.cpu.vecRegfileReads                      35777                       # number of vector regfile reads (Count)
system.cpu.vecRegfileWrites                     31118                       # number of vector regfile writes (Count)
system.cpu.ccRegfileReads                      252657                       # number of cc regfile reads (Count)
system.cpu.ccRegfileWrites                     256478                       # number of cc regfile writes (Count)
system.cpu.miscRegfileReads                  12482510                       # number of misc regfile reads (Count)
system.cpu.miscRegfileWrites                    19925                       # number of misc regfile writes (Count)
system.cpu.MemDepUnit__0.insertedLoads        1964889                       # Number of loads inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__0.insertedStores        715924                       # Number of stores inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__0.conflictingLoads       697204                       # Number of conflicting loads. (Count)
system.cpu.MemDepUnit__0.conflictingStores        41752                       # Number of conflicting stores. (Count)
system.cpu.MemDepUnit__1.insertedLoads              0                       # Number of loads inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__1.insertedStores             0                       # Number of stores inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__1.conflictingLoads            0                       # Number of conflicting loads. (Count)
system.cpu.MemDepUnit__1.conflictingStores            0                       # Number of conflicting stores. (Count)
system.cpu.MemDepUnit__2.insertedLoads              0                       # Number of loads inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__2.insertedStores             0                       # Number of stores inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__2.conflictingLoads            0                       # Number of conflicting loads. (Count)
system.cpu.MemDepUnit__2.conflictingStores            0                       # Number of conflicting stores. (Count)
system.cpu.MemDepUnit__3.insertedLoads              0                       # Number of loads inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__3.insertedStores             0                       # Number of stores inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__3.conflictingLoads            0                       # Number of conflicting loads. (Count)
system.cpu.MemDepUnit__3.conflictingStores            0                       # Number of conflicting stores. (Count)
system.cpu.branchPred.lookups                  104851                       # Number of BP lookups (Count)
system.cpu.branchPred.condPredicted             92111                       # Number of conditional branches predicted (Count)
system.cpu.branchPred.condIncorrect              4468                       # Number of conditional branches incorrect (Count)
system.cpu.branchPred.BTBLookups                85408                       # Number of BTB lookups (Count)
system.cpu.branchPred.BTBHits                   84285                       # Number of BTB hits (Count)
system.cpu.branchPred.BTBHitRatio            0.986851                       # BTB Hit Ratio (Ratio)
system.cpu.branchPred.RASUsed                    2636                       # Number of times the RAS was used to get a target. (Count)
system.cpu.branchPred.RASIncorrect                  1                       # Number of incorrect RAS predictions. (Count)
system.cpu.branchPred.indirectLookups             152                       # Number of indirect predictor lookups. (Count)
system.cpu.branchPred.indirectHits                  7                       # Number of indirect target hits. (Count)
system.cpu.branchPred.indirectMisses              145                       # Number of indirect misses. (Count)
system.cpu.branchPred.indirectMispredicted           61                       # Number of mispredicted indirect branches. (Count)
system.cpu.commit.commitSquashedInsts           86041                       # The number of squashed insts skipped by commit (Count)
system.cpu.commit.commitNonSpecStalls             144                       # The number of times commit has been forced to stall to communicate backwards (Count)
system.cpu.commit.branchMispredicts              4072                       # The number of times a branch was mispredicted (Count)
system.cpu.commit.numCommittedDist::samples      3119575                       # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::mean     1.556389                       # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::stdev     2.283852                       # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::underflows            0      0.00%      0.00% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::0         1128078     36.16%     36.16% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::1         1183020     37.92%     74.08% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::2          382221     12.25%     86.34% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::3           41168      1.32%     87.66% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::4           29248      0.94%     88.59% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::5           24872      0.80%     89.39% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::6           23019      0.74%     90.13% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::7           58752      1.88%     92.01% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::8          249197      7.99%    100.00% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::overflows            0      0.00%    100.00% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::min_value            0                       # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::max_value            8                       # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::total      3119575                       # Number of insts commited each cycle (Count)
system.cpu.commit.instsCommitted              4848388                       # Number of instructions committed (Count)
system.cpu.commit.opsCommitted                4855272                       # Number of ops (including micro ops) committed (Count)
system.cpu.commit.memRefs                     2635301                       # Number of memory references committed (Count)
system.cpu.commit.loads                       1929396                       # Number of loads committed (Count)
system.cpu.commit.amos                             42                       # Number of atomic instructions committed (Count)
system.cpu.commit.membars                          47                       # Number of memory barriers committed (Count)
system.cpu.commit.branches                      88762                       # Number of branches committed (Count)
system.cpu.commit.vectorInstructions            38875                       # Number of committed Vector instructions. (Count)
system.cpu.commit.floating                          0                       # Number of committed floating point instructions. (Count)
system.cpu.commit.integer                     4749883                       # Number of committed integer instructions. (Count)
system.cpu.commit.functionCalls                  1568                       # Number of function calls committed. (Count)
system.cpu.commit.committedInstType_0::No_OpClass      4855272      1.89%      1.89% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::IntAlu      4855272      1.89%      3.77% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::IntMult      4855272      1.89%      5.66% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::IntDiv      4855272      1.89%      7.55% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::FloatAdd      4855272      1.89%      9.43% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::FloatCmp      4855272      1.89%     11.32% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::FloatCvt      4855272      1.89%     13.21% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::FloatMult      4855272      1.89%     15.09% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::FloatMultAcc      4855272      1.89%     16.98% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::FloatDiv      4855272      1.89%     18.87% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::FloatMisc      4855272      1.89%     20.75% # Class of committed instruction (Count)
